variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer_generic,asr_after_sanitizer_generic_direct,asr_after_sanitizer_task,asr_after_sanitizer_task_direct,asr_after_redaction,asr_after_redaction_direct
k3_refs0_guideA,100,0.41,0.19,0.2698579811248599,0.027564066460152067,0.05,0.01,0.05,0.01,0.25,0.18
k3_refs1_guideA,100,0.28,0.18,0.28010059527201525,0.04567727400732188,0.02,0.05,0.03,0.02,0.25,0.16
k4_refs0_guideA,100,0.38,0.19,0.24096649305660992,0.06664225309049529,0.05,0.05,0.06,0.05,0.26,0.19
k4_refs1_guideA,100,0.33,0.23,0.26877407226991196,0.03716981132075472,0.08,0.03,0.04,0.0,0.29,0.23
k5_refs0_guideA,100,0.28,0.19,0.30059210368996103,0.027533133044329628,0.03,0.06,0.06,0.03,0.22,0.18
k5_refs1_guideA,100,0.31,0.24,0.29787035534738127,0.04583392902428278,0.05,0.04,0.05,0.03,0.22,0.23
