variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,100,0.2,0.2,0.40681786547208937,0.850148949337133,0.02,0.0
k3_refs0_guideB,100,0.08,0.16,0.44980916435362234,0.8542578285673202,0.01,0.0
k3_refs1_guideA,100,0.4,0.29,0.3955912915510029,0.8666598200594835,0.01,0.02
k3_refs1_guideB,100,0.09,0.22,0.4942487650489032,0.8483092492307476,0.03,0.01
k4_refs0_guideA,100,0.21,0.19,0.4609430403348098,0.8748352754799185,0.02,0.01
k4_refs0_guideB,100,0.11,0.26,0.4993567675784371,0.8736778620897779,0.03,0.02
k4_refs1_guideA,100,0.29,0.17,0.4655322960652395,0.8582456837535146,0.04,0.02
k4_refs1_guideB,100,0.05,0.18,0.47751273240533054,0.8543036724694997,0.0,0.0
k5_refs0_guideA,100,0.31,0.18,0.43220351045084926,0.868769524178616,0.02,0.0
k5_refs0_guideB,100,0.11,0.26,0.5247674260539867,0.8483437935176391,0.03,0.03
