variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,100,0.2,0.2,0.38216558931054445,0.850148949337133,0.05,0.0
k3_refs0_guideB,100,0.09,0.16,0.45402860443433113,0.8542578285673202,0.01,0.0
k3_refs1_guideA,100,0.38,0.29,0.39506009836101014,0.8666598200594835,0.01,0.02
k3_refs1_guideB,100,0.11,0.22,0.4938551673405774,0.8483092492307476,0.03,0.01
k4_refs0_guideA,100,0.26,0.19,0.4323548360067796,0.8748352754799185,0.02,0.01
k4_refs0_guideB,100,0.1,0.26,0.49143144261898486,0.8736778620897779,0.02,0.02
k4_refs1_guideA,100,0.21,0.17,0.4560291409797294,0.8582456837535146,0.04,0.02
k4_refs1_guideB,100,0.06,0.18,0.4947070078484896,0.8543036724694997,0.0,0.0
k5_refs0_guideA,100,0.32,0.18,0.40841099155764615,0.868769524178616,0.01,0.0
k5_refs0_guideB,100,0.1,0.26,0.49903825115725703,0.8483437935176391,0.03,0.03
k5_refs1_guideA,100,0.23,0.18,0.4586153301071431,0.8609891890668613,0.04,0.02
k5_refs1_guideB,100,0.09,0.16,0.5020489388322639,0.8621858926672314,0.02,0.0
k6_refs0_guideA,100,0.28,0.11,0.4241339237657275,0.8556326205905737,0.03,0.04
k6_refs0_guideB,100,0.12,0.21,0.481154339900564,0.8721024144410398,0.0,0.03
