variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,100,0.26,0.24,0.4841899036502997,0.8616332211305426,0.07,0.01
k3_refs0_guideB,100,0.1,0.18,0.48058428863841846,0.8528287332583767,0.01,0.02
k3_refs1_guideA,100,0.33,0.25,0.47652604292485584,0.838919560109295,0.01,0.04
k3_refs1_guideB,100,0.12,0.23,0.4880492424970006,0.8595824731821762,0.03,0.0
k4_refs0_guideA,100,0.28,0.2,0.4008691820674675,0.8759078213465817,0.02,0.0
k4_refs0_guideB,100,0.09,0.23,0.48427954767667764,0.8609515224194407,0.02,0.03
k4_refs1_guideA,100,0.25,0.22,0.5137373531362567,0.8752730462072345,0.01,0.0
k4_refs1_guideB,100,0.07,0.22,0.4619813183654407,0.8614122666546549,0.01,0.01
k5_refs0_guideA,100,0.19,0.22,0.4666839785764339,0.8226346530541025,0.01,0.0
k5_refs0_guideB,100,0.09,0.24,0.48052003620319644,0.8458516773536221,0.02,0.01
k5_refs1_guideA,100,0.26,0.22,0.5277198666128345,0.8214634715188815,0.03,0.01
k5_refs1_guideB,100,0.08,0.2,0.47734906794829,0.8349242153923592,0.02,0.02
k6_refs0_guideA,100,0.29,0.25,0.5125620885033951,0.8402809882377887,0.01,0.01
k6_refs0_guideB,100,0.11,0.24,0.4811940126289449,0.842691581199587,0.03,0.02
k6_refs1_guideA,100,0.3,0.18,0.45848159340601957,0.8509972715339539,0.02,0.03
k6_refs1_guideB,100,0.07,0.19,0.5010836579079958,0.8621900707939466,0.01,0.01
