variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer_generic,asr_after_sanitizer_generic_direct,asr_after_sanitizer_task,asr_after_sanitizer_task_direct,asr_after_redaction,asr_after_redaction_direct
k3_refs0_guideA,100,0.38,0.23,0.4537761433338748,0.4396258220122809,0.05,0.05,0.07,0.04,0.3,0.04
k3_refs1_guideA,100,0.33,0.17,0.43849429770342857,0.3255006751026499,0.07,0.03,0.05,0.02,0.24,0.04
k4_refs0_guideA,100,0.34,0.21,0.40868501328933937,0.4090402426545692,0.06,0.04,0.05,0.07,0.24,0.07
k4_refs1_guideA,100,0.32,0.19,0.3868169086789418,0.4899223365650376,0.1,0.03,0.07,0.04,0.25,0.01
k5_refs0_guideA,100,0.35,0.21,0.43072935746694313,0.48187380487533915,0.05,0.05,0.06,0.03,0.2,0.07
k5_refs1_guideA,100,0.41,0.21,0.416105156430434,0.38908953864535223,0.06,0.01,0.05,0.02,0.26,0.04
