variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer_generic,asr_after_sanitizer_generic_direct,asr_after_sanitizer_task,asr_after_sanitizer_task_direct,asr_after_redaction,asr_after_redaction_direct
k3_refs0_guideA,200,0.175,0.215,0.46350477366165843,0.8808677817579565,0.07,0.025,0.03,0.005,0.055,0.0
k3_refs1_guideA,200,0.125,0.195,0.4568878174470224,0.8775899007146687,0.075,0.03,0.02,0.025,0.075,0.0
k4_refs0_guideA,200,0.25,0.305,0.48468659547745924,0.8853213994131076,0.12,0.02,0.055,0.025,0.105,0.0
k4_refs1_guideA,200,0.13,0.215,0.4556236823058384,0.8857952914048519,0.04,0.03,0.03,0.015,0.07,0.0
k5_refs0_guideA,200,0.175,0.205,0.47649362988944693,0.8804187340596541,0.06,0.015,0.035,0.015,0.065,0.0
k5_refs1_guideA,200,0.135,0.225,0.48535068818197125,0.8827602001067776,0.06,0.03,0.025,0.005,0.06,0.0
