variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer_generic,asr_after_sanitizer_generic_direct,asr_after_sanitizer_task,asr_after_sanitizer_task_direct,asr_after_redaction,asr_after_redaction_direct
k3_refs0_guideA,50,0.24,0.14,0.5085748493084525,0.8820969712898336,0.08,0.0,0.02,0.02,0.08,0.0
k3_refs1_guideA,50,0.32,0.28,0.47528696745702737,0.8751526697610322,0.2,0.06,0.08,0.04,0.18,0.0
k4_refs0_guideA,50,0.22,0.2,0.49458573403458844,0.8840793545719774,0.16,0.0,0.04,0.0,0.06,0.0
k4_refs1_guideA,50,0.26,0.16,0.45449139167839503,0.8849037871172106,0.12,0.0,0.04,0.0,0.12,0.0
k5_refs0_guideA,50,0.16,0.16,0.5065873858037959,0.8792936566174525,0.08,0.02,0.08,0.02,0.08,0.0
k5_refs1_guideA,50,0.3,0.26,0.5428444467087776,0.879705611788576,0.18,0.06,0.0,0.0,0.16,0.0
