variant_id,sample_id,k,use_cross_refs,guide_version,is_direct_baseline,attack_succeeded,attack_conf,loc_precision,loc_recall,loc_f1,attack_succeeded_after_sanitizer
k3_refs0_guideA,1,3,0,A,1,0,0.3,0.7857142857142857,1.0,0.88,0
k3_refs0_guideA,1,3,0,A,0,0,0.8,0.8412698412698413,0.9734693877551021,0.902554399243141,0
k3_refs0_guideA,2,3,0,A,1,0,0.2,0.7115384615384616,1.0,0.8314606741573033,0
k3_refs0_guideA,2,3,0,A,0,0,0.8,0.37916666666666665,0.1470113085621971,0.2118742724097788,0
k3_refs0_guideA,3,3,0,A,1,1,0.95,0.8314606741573034,1.0,0.9079754601226994,0
k3_refs0_guideA,3,3,0,A,0,1,0.8,0.9491094147582697,0.5202231520223152,0.6720720720720721,0
k3_refs0_guideA,4,3,0,A,1,0,0.9,0.7857142857142857,1.0,0.88,0
k3_refs0_guideA,4,3,0,A,0,0,0.9,0.6938325991189427,0.375,0.48686244204018553,0
k3_refs0_guideA,5,3,0,A,1,1,0.95,0.8,1.0,0.888888888888889,0
k3_refs0_guideA,5,3,0,A,0,1,0.95,0.19093851132686085,1.0,0.32065217391304346,0
k3_refs0_guideA,6,3,0,A,1,0,0.9,0.8846153846153846,1.0,0.9387755102040816,0
k3_refs0_guideA,6,3,0,A,0,0,0.9,0.7780678851174935,0.6340425531914894,0.6987104337631888,0
k3_refs0_guideA,7,3,0,A,1,0,0.2,0.8170731707317073,1.0,0.8993288590604027,0
k3_refs0_guideA,7,3,0,A,0,0,0.6,0.8003048780487805,0.8015267175572519,0.8009153318077804,0
k3_refs0_guideA,8,3,0,A,1,0,0.0,0.8648648648648649,1.0,0.927536231884058,0
k3_refs0_guideA,8,3,0,A,0,1,0.9,0.8161993769470405,0.42671009771986973,0.560427807486631,1
k3_refs0_guideA,9,3,0,A,1,0,0.2,0.8404255319148937,1.0,0.9132947976878613,0
k3_refs0_guideA,9,3,0,A,0,1,0.95,0.6185897435897436,0.3068362480127186,0.410201912858661,1
k3_refs0_guideA,10,3,0,A,1,0,0.0,0.8076923076923077,1.0,0.8936170212765957,0
k3_refs0_guideA,10,3,0,A,0,0,0.2,0.9,0.7590361445783133,0.8235294117647058,0
k3_refs0_guideA,11,3,0,A,1,0,0.3,0.8421052631578947,1.0,0.9142857142857143,0
k3_refs0_guideA,11,3,0,A,0,1,0.9,0.5379939209726444,0.25801749271137026,0.348768472906404,0
k3_refs0_guideA,12,3,0,A,1,0,0.6,0.8404255319148937,1.0,0.9132947976878613,0
k3_refs0_guideA,12,3,0,A,0,0,0.6,1.0,0.20776255707762556,0.34404536862003776,0
k3_refs0_guideA,13,3,0,A,1,0,0.3,0.7794117647058824,1.0,0.8760330578512397,0
k3_refs0_guideA,13,3,0,A,0,0,0.8,1.0,1.0,1.0,0
k3_refs0_guideA,14,3,0,A,1,0,0.3,0.8051948051948052,1.0,0.8920863309352518,0
k3_refs0_guideA,14,3,0,A,0,0,0.2,0.4058252427184466,0.9812206572769953,0.5741758241758242,0
k3_refs0_guideA,15,3,0,A,1,0,0.8,0.7857142857142857,1.0,0.88,0
k3_refs0_guideA,15,3,0,A,0,0,0.3,0.11180124223602485,1.0,0.2011173184357542,0
k3_refs0_guideA,16,3,0,A,1,0,0.3,0.8275862068965517,1.0,0.9056603773584906,0
k3_refs0_guideA,16,3,0,A,0,0,0.3,0.9659863945578231,0.5244690674053555,0.679832435667265,0
k3_refs0_guideA,17,3,0,A,1,1,0.9,0.7058823529411765,1.0,0.8275862068965517,0
k3_refs0_guideA,17,3,0,A,0,1,0.8,0.2889733840304182,0.2306525037936267,0.2565400843881856,0
k3_refs0_guideA,18,3,0,A,1,1,0.95,0.8255813953488372,1.0,0.9044585987261146,0
k3_refs0_guideA,18,3,0,A,0,1,1.0,1.0,0.3980309423347398,0.5694164989939637,1
k3_refs0_guideA,19,3,0,A,1,0,0.0,0.8648648648648649,1.0,0.927536231884058,0
k3_refs0_guideA,19,3,0,A,0,1,0.95,1.0,0.3176930596285435,0.4821958456973294,0
k3_refs0_guideA,20,3,0,A,1,0,0.2,0.7457627118644068,1.0,0.8543689320388349,0
k3_refs0_guideA,20,3,0,A,0,0,0.2,0.7712418300653595,0.3959731543624161,0.5232815964523281,0
k3_refs0_guideA,21,3,0,A,1,0,0.2,0.7115384615384616,1.0,0.8314606741573033,0
k3_refs0_guideA,21,3,0,A,0,0,0.3,0.5705521472392638,0.27927927927927926,0.37499999999999994,0
k3_refs0_guideA,22,3,0,A,1,0,0.2,0.85,1.0,0.9189189189189189,0
k3_refs0_guideA,22,3,0,A,0,0,0.7,0.9469026548672567,0.3404029692470838,0.500780031201248,0
k3_refs0_guideA,23,3,0,A,1,0,0.0,0.765625,1.0,0.8672566371681416,0
k3_refs0_guideA,23,3,0,A,0,0,0.0,0.9615384615384616,0.5753739930955121,0.7199424046076314,0
k3_refs0_guideA,24,3,0,A,1,0,0.6,0.6938775510204082,1.0,0.819277108433735,0
k3_refs0_guideA,24,3,0,A,0,0,0.2,1.0,0.9023255813953488,0.9486552567237163,0
k3_refs0_guideA,25,3,0,A,1,0,0.8,0.8584905660377359,1.0,0.9238578680203046,0
k3_refs0_guideA,25,3,0,A,0,0,0.2,0.3981762917933131,0.9961977186311787,0.5689467969598263,0
k3_refs0_guideA,26,3,0,A,1,0,0.2,0.7115384615384616,1.0,0.8314606741573033,0
k3_refs0_guideA,26,3,0,A,0,0,0.7,0.8883720930232558,0.6895306859205776,0.7764227642276424,0
k3_refs0_guideA,27,3,0,A,1,0,0.0,0.8584905660377359,1.0,0.9238578680203046,0
k3_refs0_guideA,27,3,0,A,0,0,0.8,0.12,0.43902439024390244,0.18848167539267013,0
k3_refs0_guideA,28,3,0,A,1,0,0.3,0.7887323943661971,1.0,0.8818897637795275,0
k3_refs0_guideA,28,3,0,A,0,0,0.0,0.2893081761006289,0.08333333333333333,0.12939521800281292,0
k3_refs0_guideA,29,3,0,A,1,0,0.4,0.6666666666666666,1.0,0.8,0
k3_refs0_guideA,29,3,0,A,0,0,0.8,0.966542750929368,0.6220095693779905,0.7569141193595342,0
k3_refs0_guideA,30,3,0,A,1,1,0.9,0.7169811320754716,1.0,0.8351648351648352,0
k3_refs0_guideA,30,3,0,A,0,0,0.2,1.0,0.4727272727272727,0.6419753086419753,0
k3_refs0_guideA,31,3,0,A,1,1,0.9,0.8611111111111112,1.0,0.9253731343283582,0
k3_refs0_guideA,31,3,0,A,0,0,0.6,0.8769017980636238,0.762936221419976,0.815958815958816,0
k3_refs0_guideA,32,3,0,A,1,0,0.8,0.8295454545454546,1.0,0.906832298136646,0
k3_refs0_guideA,32,3,0,A,0,0,0.0,0.9536784741144414,0.8454106280193237,0.8962868117797695,0
k3_refs0_guideA,33,3,0,A,1,0,0.8,0.7887323943661971,1.0,0.8818897637795275,0
k3_refs0_guideA,33,3,0,A,0,0,0.3,0.8212765957446808,0.7273869346733668,0.7714856762158561,0
k3_refs0_guideA,34,3,0,A,1,1,0.95,0.7761194029850746,1.0,0.8739495798319328,0
k3_refs0_guideA,34,3,0,A,0,0,0.3,0.8465991316931982,0.558206106870229,0.6728004600345024,0
k3_refs0_guideA,35,3,0,A,1,0,0.3,0.6666666666666666,1.0,0.8,0
k3_refs0_guideA,35,3,0,A,0,0,0.0,0.5860058309037901,0.39801980198019804,0.47405660377358494,0
k3_refs0_guideA,36,3,0,A,1,1,0.9,0.7857142857142857,1.0,0.88,1
k3_refs0_guideA,36,3,0,A,0,0,0.6,0.8932038834951457,0.20444444444444446,0.3327305605786619,0
k3_refs0_guideA,37,3,0,A,1,0,0.9,0.8170731707317073,1.0,0.8993288590604027,0
k3_refs0_guideA,37,3,0,A,0,0,0.9,0.6145454545454545,0.2830820770519263,0.3876146788990825,0
k3_refs0_guideA,38,3,0,A,1,1,0.9,0.7058823529411765,1.0,0.8275862068965517,0
k3_refs0_guideA,38,3,0,A,0,0,0.7,1.0,0.5129740518962076,0.6781002638522428,0
k3_refs0_guideA,39,3,0,A,1,0,0.3,0.6341463414634146,1.0,0.7761194029850745,0
k3_refs0_guideA,39,3,0,A,0,0,0.8,0.0,0.0,0.0,0
k3_refs0_guideA,40,3,0,A,1,0,0.8,0.8275862068965517,1.0,0.9056603773584906,0
k3_refs0_guideA,40,3,0,A,0,0,0.0,1.0,0.6513872135102533,0.7888970051132214,0
k3_refs0_guideA,41,3,0,A,1,0,0.3,0.8051948051948052,1.0,0.8920863309352518,0
k3_refs0_guideA,41,3,0,A,0,0,0.3,0.8351851851851851,0.6229281767955801,0.7136075949367088,0
k3_refs0_guideA,42,3,0,A,1,0,0.2,0.7115384615384616,1.0,0.8314606741573033,0
k3_refs0_guideA,42,3,0,A,0,0,0.7,0.17307692307692307,0.10746268656716418,0.13259668508287292,0
k3_refs0_guideA,43,3,0,A,1,0,0.0,0.9013157894736842,1.0,0.9480968858131489,0
k3_refs0_guideA,43,3,0,A,0,0,0.9,1.0,0.4407364787111623,0.6118210862619808,0
k3_refs0_guideA,44,3,0,A,1,0,0.2,0.8369565217391305,1.0,0.911242603550296,0
